MPI_proc	Speedup
1   	1.01004209457123713085
2   	2.01740734336272984033
3   	2.84176920431319956052
4   	3.77854962235411244188
5   	4.04808011451912758579
6   	5.40684613334348703499
7   	5.50930596047045260555
8   	6.30258761167437053381
9   	7.04613731319584150302
10  	 7.82769002032521925800
11  	 8.61019051562394429882
12  	 9.40597572804050057959
13  	 10.19403536120113221479
14  	 10.95881953448169414089
15  	 11.73883570590083163864
16  	 12.52494909376827080099
17  	 12.31202180986720605047
18  	 12.21527892987274727030
19  	 10.89466698378842863609
20  	 11.34672109439924020346
